Trong con người cái gì cũng cần phải đẹp, cả nét mặt, quần áo lẫn tâm hồn và tư tưởng.|M. Smuevich
Không có người đọc cho một cuốn sách mà chỉ có những cuốn sách dành cho người đọc.|M. Muratốp
Khi xem xét kỹ cuộc đời những người xuất chúng, bạn sẽ thấy việc tự đọc có ý nghĩa to lớn như thế nào đối với sự phát triển của từng người ấy.|Bextugiep – Ryumin
Hãy tìm đến những người mà khi nói chuyện thì như được đọc một quyển sách tốt và hãy tìm đến những quyển sách tốt – những quyển sách khi đọc ta có cảm giác như được nói chuyện với các triết gia.|P.Buast
Có hai kiểu yêu mến sách, hai kiểu ham hiểu biết. Một kiểu bắt nguồn từ nhu cầu trí tuệ, một kiểu từ nhu cầu tình cảm; một cái xuất phát từ niềm khát khao hiểu biết và một cái từ niềm khát khao chân lý và niềm ước mơ lý tưởng.|X.A.Vengherôp
Cảm thấy mọi người thân thiết với mình, cần đến mình là điều thú vị nhất, sung sướng nhất trên đời.|M. Gorki
Sách giống như một con ong chuyển phấn hoa sinh sản, từ một trí tuệ này sang một trí tuệkhác.|Gi.Loen
Sách là người bạn chân tình và sáng suốt. Nó chỉ cho bạn con đường đúng đắn, nó giữ cho bạn khỏi sự lầm lạc. Có sách bên mình thì cả trong thời thơ ấu, cả giữa lúc thanh xuân và cả khi lúc về già, bạn không bị cô độc, bạn thấy mình mạnh mẽ.|V.Vaxilepxcaia
Biết bao kẻ đọc sách và học hỏi, không phải để tìm ra chân lý mà là để gia tăng những gì mình đã biết.|Green Julien
Nếu tôi có quyền thế, tôi sẽ đem sách mà gieo rắc khắp mặt địa cầu như người ta gieo lúa trong luống cày vậy.|Mann Horace
Sách vở làm vơi đi nỗi buồn trong tim.|Tục ngữ châu Phi
Nghe cho nhiều rồi chọn điều phải mà cố làm kỳ được, xem cho rộng rồi ghi nhớ lấy để biết cho tường.|Luận ngữ
Đọc sách mới đầu tưởng là giản đơn nhưng thực ra một quá trình hết sức phức tạp,trong một mức độ rất lớn, nó phụ thuộc vào vô số đặc điểm hết sức tinh vi của mỗi người. Do đó cần thừa nhận một quy tắc chung là: đọc hiệu quả nhất là đọc cá nhân, nghiền ngẫm một mình, bố trí một cách thoải mái tất cả mọi chi tiết trong việc đọc của mình, theo một kế hoạch riêng và tùy theo sở thích của mình.|V.Sácnôluxki
Cuốn sách nào buộc bạn phải suy nghĩ nhiều hơn các cuốn sách khác là cuốn sách có ích hơn cả.|T.Pácke
Chọn sách cho bản thân mình đọc và cho người khác đọc – đó không chỉ là mộtkhoa học, mà đó còn là nghệ thuật. Nghệ thuật này phát triển không có giới hạn.|Rubakin
Đọc cuốn sách tốt chẳng khác gì trò chuyện với người thông minh. Nó giúp người đọc biết được và khái quát được hiện thực, hiểu được cuộc sống.|A.Tônxtôi
Để cho con một hòm vàng không bằng dạy cho con một quyển sách hay.|Vi Hiền Truyện
Chỉ nên coi việc đọc sách là sự gợi ý, sự nhắc nhở nhận từ những người thông thái từng trải, tựa hồ trái táo của Adam Eva kích thích sự sống phát triển.|Son. H
Kết hợp những điều hiểu biết với những kinh nghiệm và kiến thức sẵn có - đó là nguyên tắc cần thiết khi lựa chọn sách.|Krupxkaia
Lựa sách mà đọc cũng nhưlựa bạn mà chơi. Hãy coi chừng bạn giả.|Damiron
Gặp được một quyển sách hay, nên mua liền dù đọc được hay không đọc được, vì sớm muộn gì cũng cần đến nó.|Churchill Sir Winston
Sau một giờ đọc sách thì nỗi đau khổ nào của tôi cũng biến mất.|Môngtexkiơ
Thích đọc sách tức là biết đánh đổi những giờ phút buồn tẻ không thể tránh được trong cuộc đời lấy những giờ phút lý thú.|Môngtexkiơ
Bạn hãy đọc sách đi! Và mong sao trong đời bạn sẽ không có ngày nào mà bạn không đọc dù chỉ một trang sách mới.|C.Pautốpxki
Đọc một cuốn sách xấu thì thà không đọc còn đỡ tệ hại hơn.|Biêlinxki
Có một số sách chỉ nên nếm qua, có một số nên nuốt và có một vài cuốn nên nhai và tiêu hóa.|Bêcơn Pauven Naumovích
Đọc sách là nuôi dưỡng trí tuệ.|M.Xêlêna
Có những quyển sách mà phần đẹp nhất chỉ là cái bìa và cái lưng.|Dickens Charles
Miếng vải xấu là miếng vải thô mà người ta nhìn thấy rõ từ bên ngoài. Sách vở cũng thế, nhìn trang đầu đã biết được phần kết cuộc.|Fielding Henry
Xem kinh thì có thể phấn khởi được ý chí, xem xét được việc hay dở, hòa hợp với mọi người, bày tỏ nỗi sầu oán, gần thì học được việc thờ cha, xa thì học việc thờ vua, lại biết được nhiều chim muông, cây cỏ và loài đom đóm.|Khổng Tử
Không có cách giải trí nào rẻ hơn sách, cũng không có sự thú vị nào bền lâu hơn sách.|M.Môngteguy
Đọc sách cần cho trí tuệ chẳng khác gì rèn luyện cần cho cơ thể.|A.Xtan
Đọc sách hay làm cho thân ta ít lỗi.|Lã Khôn
Theo tôi, sách tốt là cuốn sách mà dưới tấm bìa của nó có cuộc sống sôi nổi rộn ràng như máu chảy dưới làn da, là cuốn sách khiến người đọc nhớ rất lâu, nếu không phải là nhớ mãi, là cuốn sách mà ai cũng muốn được đọc lần nữa.|M.I.Calinin
Có ba cách đọc sách: đọc mà không hiểu đưọc và hiểu được và hiểu cả những điều không viết trong sách.|Cơniagiơnin
Phải hiểu biết sự vật và có tri thức thì mới có được tâm tính chính trực và ý kiến đúng đắn.|Nguyễn Trường Tộ
Đối với tôi, sách bao giờ cũng là người khuyên bảo, người an ủi hùng hồn và điềm tĩnh.|Giocgiơ Săng
Muốn có nhiều tài liệu thì phải xem cho rộng... xem được nhiều thứ báo chừng nào thì lấy được nhiều tài liệu chừng ấy.|Hồ Chí Minh
Những người đọc sách tuy chưa thành danh nhưng cũng đã có một tư cách cao thượng, những người làm điều thiện, tuy không mong báo đáp nhưng tự trong lòng khoan khoái.|Ngạn ngữ Trung Quốc
Đọc sách không nhiều thì gan dạ không vững mà can đảm không lớn, lý nghĩa sâu sắc không tinh thì tâm địa không tế nhị.|Sách Nhị vị
Với sự giúp đỡ của sách, bất kỳ người nào biết đọc cũng có quyền, có khả năng bước vào vương quốc trí tuệ.|Xmailôx
Trong đời tôi sách đóng một vai trò to lớn và là người bạn đường thân ái trong mọi thành công và hành động của tôi.|X. Xtơrumlin
Không nên giữ sách như giam sách vào tù; chúng phải chuyển từ tủ sách vào trí nhớ. Chỉ có những cuốn sách tốt thực sự mới đáng để ta đọc và tiếp thu nội dung; nuôi dưỡng trí tuệ bằng nhiều cuốn sách không có lựa chọn gì, tức là làm trí tuệ mất sức bay bổng và thậm chí, hủy hoại hoàn toàn nó nữa.|G. Pêtơrácca
Hãy đọc nhiều. Tôi không có ý nói những điều bạn cần phải đọc để làm tốt các bài tập hoặc công việc. Hãy đọc để rút ra bài học từ những niềm vui, những lỗi lầm, sự khôn ngoan của người khác. Thì giờ bạn dành cho một cuốn sách không bao giờ là thì giờ uổng phí.|Marian Wright Edelman
Chúng ta cần phải nâng cao trình độ văn hóa lên mức thật cao. Phải làm thế nào để mọi người thực sự sử dụng được khả năng đọc và viết, để mọi người có sách đọc...|V.I.Lênin
Độc thư bất vong cứu quốc Cứu quốc bất vong độc thư - Đọc sách không quên cứu nước Cứu nước không quên đọc sách.|Hồ Chí Minh
Nhập thế chính thân thiên lý mã Khán thư song nhãn vạn niên đăng - Vào đời thân như ngựa ngàn dặm Đọc sách mắt như đèn muôn năm.|Cao Bá Quát
"Hiện nay chúng ta đang ba hoa về sự cô đơn toàn cầu của nhân loại. Làm thế nào để vượt qua điều đó? Chỉ có đọc sách! Chỉ cuốn sách mới "trò chuyện" với con người không mang tính chất hình thức, mà là một cách tâm tình, khuyên bảo và cung cấp những định hướng cần thiết. Trong sách có những bí mật của đạo đức - quy tắc của lương tâm...".|GS.TSKH Mikhain Phiôđôrôvích Nhenasep
Cần phải yêu mến và tin vào sách. Cần rèn luyện cho mình thói quen thực hành và kỹnăng dùng sách để làm việc.|N. Rubakin
Một cuốn sách hay cho ta một điều tốt, một người bạn tốt cho ta một điều hay.|GustavơLebon
Nghệ thuật đọc sách là nghệ thuật tư duy với ít nhiều sự giúp đỡ của người khác...|Phaghe
Sách có thể ít đi một chút, nhưng phải tốt đẹp hơn. Không nên đặt một cuốn sách tầm thường lên giá sách. Đừng ăn cắp thời gian của người lao động trung thực.|N.Ôxtơrốpxki
Thế giới vô cùng vĩ đại. Cặp mắt của bạn chỉ thấy được một phần nhỏ bé không đáng kể. Bởi vậy bạn hãy tìm lấy các sự kiện ở trong sách. Hãy tích lũy đều đặn hàng ngày các sự kiện ấy.|V.Ôbrưsép
Vương Thù nói: Sách Kinh thì nuôi căn bản con người, sách Sử thì mở mang tài trí cho con người.|Lê Quý Đôn
Sách vở đầy bốn vách Có mấy cũng không vừa.|Nguyễn Du
Xa chốn ngựa xe xuân mộng đến Vui bên sách vở tuổi già ngâm.|Nguyễn Bỉnh Khiêm
Thư viện không nên chỉ là nơi giữ sách, cũng không nên chỉ là nơi đọc sách giải trí nhẹ nhàng. Nó phải là một trung tâm nghiên cứu – sự nghiên cứu mà bất kỳ mộtcon người có lý trí nào cũng cần phải có.|Phêđôrôp
